timestamp_utc,team,model,score,notes
2026-02-04T17:30:00Z,baseline,GrapeGAT,0.830,3-layer GAT with multi-head attention and graph features
2026-02-14T21:35:55Z,DL-ENGINEER-TEAM,VesselGCN,0.659091,3-layer GCN with skip connections
